gene,logFC,p_value,adj_p_value
200034_s_at,0.5920636115495554,2.0645576662216852e-07,6.269356565333581e-07
200035_at,0.6940401562883274,3.640244684131106e-10,2.746886972451522e-09
200036_s_at,0.7969629298924517,0.0019709214907163313,0.0025925645559404967
200037_s_at,0.5596403449614655,4.203927558479766e-06,9.149845456691212e-06
200038_s_at,0.6579974634589156,4.817617196024101e-08,1.7607177952928496e-07
200039_s_at,0.6290006293505002,3.5442775274261684e-08,1.3450648045088656e-07
200040_at,0.6733871522575505,0.00033374830500489095,0.0004984860567346327
200041_s_at,1.3865678298833686,2.1179670862413864e-07,6.414932796345903e-07
200042_at,0.5681819380103832,4.910326015014822e-13,1.4786053323320985e-11
200043_at,0.5946304215566425,0.016021267420896046,0.01874911516936225
200044_at,0.75463817899705,4.53257215864429e-07,1.2510752559280405e-06
200045_at,0.8868403126779327,2.6513105864863543e-09,1.4576647865451624e-08
200046_at,0.8810656525776963,3.3532514196359742e-09,1.7770089675792186e-08
200047_s_at,0.5917852921566187,2.138023048355361e-07,6.466010801642578e-07
200048_s_at,0.6117288001880308,0.005106238980999024,0.0063526505060354675
200049_at,0.5458805968880309,1.2300683298303408e-08,5.389227800552396e-08
200050_at,0.5376637225812821,2.7453846943392426e-07,8.045161381373138e-07
200051_at,0.3551634698704129,0.016876665194509522,0.019702558313472816
200052_s_at,1.216765421324883,7.086382764334346e-07,1.8607808995717916e-06
200053_at,0.5997194493050504,2.6142356097123912e-15,3.530485581286134e-13
200054_at,0.6589525576631861,1.5432561238537688e-07,4.855058055602645e-07
200055_at,0.4891893709555628,0.0013539001752305548,0.001826208087449301
200056_s_at,0.37880079819034407,0.10781259258966973,0.11609104091406255
200057_s_at,0.5866813324176956,7.697924512859864e-09,3.617310247154288e-08
200058_s_at,0.5491244208979573,5.2261141808077594e-06,1.1124713631155836e-05
200059_s_at,0.8648773208749105,5.530380826494547e-10,3.918393512139204e-09
200060_s_at,0.3729035448752409,0.0049103731798412435,0.00612573315230111
200061_s_at,0.4949785750554465,5.562765710436613e-08,1.9957351203616014e-07
200062_s_at,0.6310493927594187,6.51025715230441e-14,3.4347210768032557e-12
200063_s_at,0.4350887356734354,0.0006199566618271187,0.0008858284254885338
200064_at,0.7971045810688064,9.22341115292887e-10,6.043083526042753e-09
200065_s_at,1.1158090819338362,0.0004174889807529907,0.0006121773066651087
200066_at,0.6850323284749518,0.0013220622454006062,0.0017867244671434808
200067_x_at,0.6214743620677226,5.904723602914482e-07,1.58257103733153e-06
200068_s_at,0.6580150975879544,8.95114911945608e-09,4.128589194401439e-08
200069_at,0.4349384998089434,0.0008398422917355407,0.0011715416167987387
200070_at,0.5376453021712599,4.671946295442311e-06,1.0051653886389981e-05
200071_at,0.5315635908278917,0.0056642328799999,0.006998009606622188
200072_s_at,0.6520384394630057,0.001110863234072215,0.0015202074546201631
200073_s_at,0.5679939941544756,5.6744283814729105e-08,2.0295872812899015e-07
200074_s_at,0.6208001106101033,0.001174004232073748,0.00160041210713932
200075_s_at,1.0536922614404016,6.270993597209787e-05,0.00010652275524212965
200076_s_at,0.700500009116034,1.0329721863348004e-07,3.415598638981801e-07
200077_s_at,0.7460808321165207,1.0182107944589723e-09,6.527270176331783e-09
200078_s_at,1.298891085825085,2.454603834846504e-06,5.647489649136256e-06
200079_s_at,0.6678561689454039,3.198176810210905e-15,4.0317690687198053e-13
200080_s_at,0.580465753015444,2.6749573780602096e-07,7.86152403789444e-07
200081_s_at,0.5678177606350836,0.0003214100289511476,0.0004813158383816143
200082_s_at,0.8806077487733894,5.608792752796056e-12,9.584411726269519e-11
200083_at,0.7094229641521217,8.706951024708976e-13,2.291775620439595e-11
200084_at,0.4020157850722068,0.01972280523437192,0.022854044151716563
200085_s_at,0.8527629385548492,7.730059664944927e-05,0.00012918023062394467
200086_s_at,0.4321203846380701,0.00010285891876192412,0.00016801094317343168
200087_s_at,0.6472791095688653,2.2183529884191173e-05,4.118610201711647e-05
200088_x_at,0.8862156190052755,5.694347510925472e-10,4.014145700283211e-09
200089_s_at,0.6386875797973453,1.9537507714686997e-05,3.663673183593119e-05
200090_at,0.6324461530840502,0.006085372140873893,0.007492973830750564
200091_s_at,0.6616248340613211,7.779636886687112e-06,1.5943497539414046e-05
200092_s_at,0.6056397762898342,4.300145021370642e-08,1.593814562727911e-07
200093_s_at,0.25165592684979465,0.031644533553978074,0.03589935552302685
200094_s_at,0.3243081961188068,0.005131501665490194,0.006381941821293632
200095_x_at,0.5618641516843272,9.532634095624196e-10,6.2109849576840334e-09
200096_s_at,0.9610633190057847,4.377083385425678e-05,7.653370141042088e-05
200097_s_at,0.7426370672445799,5.192363509934351e-09,2.5860848478289482e-08
200098_s_at,0.47055422778714195,0.007647534893404053,0.009294754010566298
200099_s_at,0.5422849545272062,1.216146377748797e-06,3.003035210037283e-06
200593_s_at,0.5523347466347364,0.005377367780273543,0.0066653994686452335
200594_x_at,0.5052075352201584,2.4199786890412246e-07,7.192795135108125e-07
200595_s_at,0.6193986204369466,1.6291792020513638e-07,5.091584875078617e-07
200596_s_at,0.6143506896168702,0.009100986696275171,0.010956685210065355
200597_at,0.7322994091106327,3.0871582987400916e-09,1.656819565771326e-08
200598_s_at,0.4221244601847509,0.01566108991579435,0.01834881258707847
200599_s_at,0.7051662863024202,3.5275141846660808e-06,7.814255748773664e-06
200600_at,0.694493987474246,0.001877076551892716,0.002478777812363719
200601_at,0.34173214940934393,0.04170723536638189,0.046689893276517846
200602_at,0.2956374664659851,0.035523739441858805,0.04007774218940508
200603_at,0.7863144582228561,2.959733715442739e-07,8.585231239418193e-07
200604_s_at,0.8557705910844682,2.8136071387256687e-06,6.377337795974375e-06
200605_s_at,1.0793481745963174,8.300655751366128e-07,2.141205295597129e-06
200606_at,0.5346362862841243,0.0013389316049260153,0.0018076590701342865
200607_s_at,0.90639826574367,5.981860004658314e-11,6.287442758669869e-10
200608_s_at,0.7508381868201717,1.83676467793131e-05,3.466471357528871e-05
200609_s_at,0.44386902301754105,0.006490597044713773,0.00796129571916672
200610_s_at,0.8033294419342507,1.8220494791805462e-11,2.434096435526385e-10
200611_s_at,0.8020949988375339,6.3956134106457515e-09,3.083371995443948e-08
