gene,logFC,p_value,adj_p_value
200866_s_at,1.5853331975157472,1.6078940085874614e-07,5.03353500890059e-07
200883_at,1.576945335674929,0.00019120403067141421,0.00029771500352533876
200890_s_at,1.1079111498321446,5.097305349539051e-05,8.8117342981985e-05
200903_s_at,1.1335866522611937,6.566392795497714e-08,2.3089621376372978e-07
200905_x_at,1.2451118357191095,2.892541624825114e-10,2.2765940693914883e-09
200910_at,1.0201191616303529,6.277413521372422e-08,2.219254410546433e-07
200923_at,1.1268099911498588,6.550201711574572e-08,2.3043597211717114e-07
200925_at,1.130534103873842,2.0310560860553386e-13,7.619195751779648e-12
200927_s_at,1.170453212152136,5.225250456778244e-05,9.010544492214023e-05
200929_at,1.4969752857540186,1.0568498516841127e-08,4.739340962985929e-08
200938_s_at,1.0224756845511873,0.00015335059799884411,0.00024283054116033565
200952_s_at,1.0133608701476007,3.363550859789695e-09,1.7815546424695454e-08
200964_at,1.1475283913723189,2.11120227400134e-05,3.9350832514907456e-05
200968_s_at,1.3222228397841604,4.954046011615652e-06,1.0595163381978268e-05
200973_s_at,1.1211311977605316,0.00035217463559636587,0.0005236209651694016
201005_at,1.1058000686497014,0.015772946946214166,0.018474038202496202
201008_s_at,1.0134711550823337,0.001336060708857072,0.0018043462537300902
201015_s_at,1.0011346301019364,4.195777323613219e-06,9.135675796567654e-06
201037_at,1.1990937063149083,1.8633216248434745e-08,7.702700191184125e-08
201048_x_at,1.0854107620277889,4.893688779349068e-08,1.7844226324698952e-07
201073_s_at,1.3568440252346132,2.075815931436607e-08,8.450019437377039e-08
201096_s_at,1.0191639901906395,5.585677525621378e-10,3.952545325608802e-09
201105_at,1.0143927655124418,5.793117381829096e-05,9.913072847434937e-05
201106_at,1.26081979047186,4.2445281578163925e-06,9.226497018888175e-06
201110_s_at,1.1586461202065497,4.888684361181298e-06,1.0466485090317928e-05
201114_x_at,1.074502104599727,0.000947834669006593,0.001309723423631025
201115_at,1.0282202857288958,1.176503634706967e-09,7.3599187232384465e-09
201116_s_at,1.0393108214221147,2.051830471981895e-06,4.825393928961094e-06
201119_s_at,1.0247545881411622,4.673327658957608e-06,1.0053655167460164e-05
201132_at,1.0439235223787406,2.4219345983394713e-06,5.583856042917583e-06
201135_at,1.1879983774596887,2.3338073583511635e-05,4.313555853196664e-05
